Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
"Canal Road, Strood Riverside",Medway,,11/04/2011,30/11/2016,2060,13229,2996,"£351,253.62",£170.51,6.4,"£76,841.54",£60.00,£30.00,Discount if paid in 14 days,
Bury New Road,Salford,,02/04/2015,9/12/2016,617,3577,2614,"£104,820.00",£169.89,5.8,"£80,670.00",£60.00,£30.00,Can rise to £90 or £98,
Mobile camera 1,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 2,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 3,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 4,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 5,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 6,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 7,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 8,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 9,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 10,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 11,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
Mobile camera 12,Hull,,18/08/2015,08/11/2016,448,2684.166667,1437.5,"£75,741.00",£169.06,6.0,"£44,376.67",£60.00,£30.00,Discount if paid within 21 days.,
New Road,South Gloucestershire,,01/10/2015,10/11/2016,406,"2,456","2,193","£66,964.76",£164.94,6.0,"£36,762.00",£60.00,£30.00,£90,£30 if paid in 14 days
Canal Street,Leeds,,,,,,2037,,£160.51,,"£58,586.00",£60.00,£30.00,,
Audenshaw Road nr Manor Road Audenshaw,Tameside,M34 5PR,02/03/2015,17/11/2016,626,3178,1804,"£100,001.00",£159.75,5.1,"£52,888.00",£60.00,£30.00,,
Hertford Road/Green Street EN3,Enfield,S0003,05/01/2015,13/01/2017,739,4563,2276,"£117,919.00",£159.57,6.2,,130,65,,
Cheltenham Rd / Station Rd,Bristol,61,01/04/2011,23/12/2016,2093,"9,021",645,"£332,715.97",£158.97,4.3,"£19,728.70",£60.00,£30.00,,
Stoney Road,Coventry,,01/06/2012,05/12/2016,1648,"26,124","2,090","£261,752.10",£158.83,15.9,"£65,021.01",£60.00,£30.00,,
Siddals Road,Derby,,03/02/2015,30/10/2016,635,3327,1229,"£100,679.36",£158.55,5.2,"£40,050.39",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Fishponds Rd,Bristol,185,03/09/2012,23/12/2016,1572,"6,374","1,907","£236,288.41",£150.31,4.1,"£61,669.33",£60.00,£30.00,,
Forecourt Greyfriars,Bedford,,13/11/2015,9/11/2016,362,2142,751,"£53,671.37",£148.26,5.9,"£18,018.37",£60.00,,,
Cambridge Road - junction with Victoria Road (westbound),Kingston upon Thames,LW0877,24/10/2015,09/01/2017,443,1022,406,"£64,720.00",£146.09,2.3,"£26,406.00",,,,
Burmantofts St Junc Rigton App,Leeds,,,,,,1892,,£145.79,,"£53,214.37",£60.00,£30.00,,
A38 Aztec West,South Gloucestershire,,23/06/2016,10/11/2016,140,745,0,"£20,326.00",£145.19,5.3,£0.00,£60.00,£30.00,£90,£30 if paid in 14 days
Penrhyn Road - outside County Hall (northbound),Kingston upon Thames,LW0876,25/11/2015,09/01/2017,411,1016,450,"£58,875.00",£143.25,2.5,"£27,805.00",,,,
Barlow Moore Road,Manchester,,22/08/2012,13/12/2016,1574,8507,2025,"£223,592.00",£142.05,5.4,"£64,904.00",£60.00,£30.00,,
Burley Road,Leeds,,,,,,1890,,£140.94,,"£51,442.00",£60.00,£30.00,,
"Yeading Lane, Northolt (North-Eastward) (U)",Ealing,UB5 6LW,20/06/2011,12/01/2017,2033,4963,917,"£284,732.74",£140.06,2.4,"£53,080.98",130,65,,
"Uxbridge Road, Hanwell (Eastward) (U)",Ealing,W13 9AU,24/11/2011,12/01/2017,1876,4176,727,"£260,653.50",£138.94,2.2,"£45,029.00",130,65,,
"A650 Keighley Rd, Lister Park, Manningham outbound",Bradford,,08/08/2012,28/11/2016,1573,"9,497",591,"£213,253.91",£135.57,6.0,"£11,435.00",£60.00,£30.00,,
Haverstock Hill/Rowland Street,Camden,NW3 2PP,11/08/2011,09/01/2017,1978,3766,815,"£260,169.56",£131.53,1.9,"£56,532.00",,,,
Oldham Road,Manchester,,25/10/2011,13/12/2016,1876,8522,1157,"£244,727.00",£130.45,4.5,"£35,833.00",£60.00,£30.00,,
Exeter Street (Outbound) Plymouth,Plymouth,PL4 0HF,20/06/2013,24/11/2016,1253,"6,302","1,390","£163,193.00",£130.24,5.0,"£34,998.00",£60.00,£30.00,Can rise to £90 or £98,
"Nelson Street, 2, bus gate",Bradford,,25/05/2012,28/11/2016,1648,"8,082","1,665","£211,549.73",£128.37,4.9,"£43,291.95",£60.00,£30.00,,
Granville Road,Sheffield,,06/12/2011,28/11/2016,1819,8550,1613,"£230,880.00",£126.93,4.7,"£50,536.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Rochdale Road (Gould Street to Bromley Street),Manchester,,04/09/2012,13/12/2016,1561,7042,2364,"£197,770.00",£126.69,4.5,"£68,494.00",£60.00,£30.00,,
Oldham Road nr Langham Street Ashton,Tameside,OL7 9AD,02/12/2014,17/11/2016,716,2858,1314,"£89,686.00",£125.26,4.0,"£38,000.00",£60.00,£30.00,,
"Woodvale, Quedgeley",Gloucestershire,GL2 2BE,10/10/2013,01/12/2016,1148,7069,2250,"£142,944.15",£124.52,6.2,"£50,930.69",£50 or £70 ,50%,Discount if paid within 14 days. Rises to £90 after £28 days,
"Horn Lane, Acton (Northward) (U)",Ealing,W3 6TH,19/07/2011,12/01/2017,2004,3930,591,"£248,172.39",£123.84,2.0,"£37,432.44",130,65,,
Highgate Hill,Islington,LW0588,01/04/2014,30/11/2016,974,2472,908,"£113,609.09",£116.64,2.5,"£43,584.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Clarence Rd (nr Trinity Rd Junction),Bristol,S00008,30/09/2013,23/12/2016,1180,"3,792","1,237","£137,599.77",£116.61,3.2,"£29,309.43",£60.00,£30.00,,
"Uxbridge Road, Southall (Eastward) (U)",Ealing,UB1 3DX,20/06/2011,12/01/2017,2033,3558,522,"£233,825.00",£115.01,1.8,"£35,252.00",130,65,,
Bolsover Street,Sheffield,,18/01/2013,28/11/2016,1410,5286,10,"£159,078.20",£112.82,3.7,£427.00,£60.00,£30.00,50% surcharge if not paid in 28 days,
"Mandeville Road, Northolt (South-Westward) (U)",Ealing,UB5 4LX,24/10/2011,12/01/2017,1907,3984,774,"£207,930.70",£109.04,2.1,"£39,888.34",130,65,,
Fishponds Rd,Bristol,184,03/09/2012,23/12/2016,1572,"4,346","1,320","£165,202.66",£105.09,2.8,"£41,087.32",£60.00,£30.00,,
A650 Manningham Lane junction with Valley Parade.,Bradford,,24/06/2015,28/11/2016,523,"2,589","1,127","£54,343.00",£103.91,5.0,"£23,014.00",£60.00,£30.00,,
"Leypark Walk, Plymouth",Plymouth,PL6 8UE,03/09/2013,24/11/2016,1178,"4,218",624,"£121,682.00",£103.30,3.6,"£17,706.00",£60.00,£30.00,Can rise to £90 or £98,
"Bow Street, Keighley",Bradford,,14/05/2012,28/11/2016,1659,"6,474",836,"£169,807.30",£102.36,3.9,"£24,373.54",£60.00,£30.00,,
"A650 Keighley Rd, Lister Park, Mannigham, inbound",Bradford,,09/08/2012,28/11/2016,1572,"6,250",441,"£159,445.94",£101.43,4.0,"£13,831.00",£60.00,£30.00,,
Mildmay Park,Islington,LW0594,01/04/2014,30/11/2016,974,1583,537,"£97,641.99",£100.25,1.6,"£25,776.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Hammersmith Bridge Rd,Hammersmith and Fulham,"128,129, 130,131",01/04/2009,30/11/2016,2800,4512,1607,"£265,274.00",£94.74,1.6,"£98,326.00",130,65,,
"Pemros Road, Plymouth",Plymouth,PL5 1LY,14/11/2012,24/11/2016,1471,"5,792","1,176","£136,700.00",£92.93,3.9,"£26,031.00",£60.00,£30.00,Can rise to £90 or £98,
Canonbury Road / Colebeck Mews,Islington,LW0605,01/04/2015,30/11/2016,609,2194,643,"£56,357.00",£92.54,3.6,"£30,864.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Anson Road (south east of Daisy Bank Road),Manchester,,06/04/2010,13/12/2016,2443,8507,1640,"£223,592.00",£91.52,3.5,"£47,317.00",£60.00,£30.00,,
"London Road/Essex Road, Enfield EN2",Enfield,S0006,03/01/2015,13/01/2017,741,2663,1254,"£67,323.00",£90.85,3.6,,130,65,,
"Greenford Road / Locarno Road, Greenford (Southward) (U)",Ealing,UB6 8SH,30/07/2015,12/01/2017,532,910,346,"£48,020.32",£90.26,1.7,"£21,370.32",130,65,,
Wellington Road,Leeds,,,,,,1114,,£87.38,,"£31,892.00",£60.00,£30.00,,
Crossdeep,Richmond-upon-Thames,89,17/07/2014,14/11/2016,851,560,164,"£72,800.00",£85.55,0.7,"£21,320.00",130,65,,
Netherwitton Way,Newcastle-upon-Tyne,,01/02/2016,31/10/2016,273,1037,223,"£23,190.00",£84.95,3.8,"£2,490.00",£60.00,£30.00,Can rise to £90 or £98,
Gloucester Rd,Bristol,108,06/09/2011,23/12/2016,1935,"4,248","1,427","£159,761.29",£82.56,2.2,"£47,304.16",£60.00,£30.00,,
Oldham Road nr Cranbrook St Ashton,Tameside,OL7 9AD,02/12/2014,17/11/2016,716,1911,792,"£58,506.00",£81.71,2.7,"£22,175.00",£60.00,£30.00,,
Headrow,Leeds,,,,,,1107,,£81.46,,"£29,731.22",£60.00,£30.00,,
Ecclesall Road (CCTV vehicle),Sheffield,,02/08/2016,28/11/2016,118,335,0,"£9,540.00",£80.85,2.8,£0.00,£60.00,£30.00,50% surcharge if not paid in 28 days,
Finsbury Square,Islington,LW0616,01/04/2014,30/11/2016,974,1784,594,"£78,241.65",£80.33,1.8,"£28,512.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
York Rd Junc Marsh Lane,Leeds,,,,,,925,,£80.19,,"£29,271.00",£60.00,£30.00,,
Crossdeep,Richmond-upon-Thames,93,12/02/2015,14/11/2016,641,383,187,"£49,790.00",£77.68,0.6,"£24,310.00",130,65,,
Bedminster Parade,Bristol,270,01/02/2010,23/12/2016,2517,"5,185",0,"£188,551.07",£74.91,2.1,-,£60.00,£30.00,,
Old Haymarket/St John's Lane/The Strand/Lime Street,Liverpool,,01/04/2010,02/12/2016,2437,14818,199,"£181,678.79",£74.55,6.1,"£5,801.46",£60.00,£30.00,Rises to £90 at charge certificate stage,
Woodhouse Lane Junc Clarendon Rd,Leeds,,,,,,929,,£71.60,,"£26,133.00",£60.00,£30.00,,
Shepherds Bush Road South(Brook Green),Hammersmith and Fulham,150,01/04/2009,30/11/2016,2800,3322,1160,"£194,662.00",£69.52,1.2,"£73,865.00",130,65,,
Tile Hill Lane,Coventry,,01/02/2011,05/12/2016,2134,"11,719","1,566","£147,077.22",£68.92,5.5,"£44,830.02",£60.00,£30.00,,
Thornton Road,Bradford,,14/05/2012,28/11/2016,1659,"5,162",616,"£111,761.27",£67.37,3.1,"£11,530.00",£60.00,£30.00,,
"Tavistock Road, Plymouth",Plymouth,PL6 5DA,25/02/2015,24/11/2016,638,"1,665",913,"£41,805.00",£65.53,2.6,"£23,971.00",£60.00,£30.00,Can rise to £90 or £98,
Kingsway Westbound Arm,Bedford,,02/06/2012,9/11/2016,1621,3797,709,"£105,406.83",£65.03,2.3,"£18,053.52",£60.00,,,
Fortess Road/Highgate Road,Camden,NW5 2ES,11/08/2011,09/01/2017,1978,2039,576,"£128,393.93",£64.91,1.0,"£34,397.00",,,,
Newington Causeway,Southwark,,12/01/2007,12/01/2017,3653,,404,,£64.12,,"£23,405.31",130,65,,
Bury New Road,Manchester,,08/04/2010,13/12/2016,2441,5430,994,"£154,768.00",£63.40,2.2,"£31,334.00",£60.00,£30.00,,
Wilbraham Road ,Manchester,,01/04/2010,13/12/2016,2448,5094,3056,"£150,888.00",£61.64,2.1,"£97,093.00",£60.00,£30.00,,
"Greenford Road, Greenford (Northward) (821)",Ealing,UB6 9AH,14/02/2011,12/01/2017,2159,2020,11,"£131,973.50",£61.13,0.9,£722.00,130,65,,
Cheltenham Rd/Gloucester Rd,Bristol,107,06/09/2011,23/12/2016,1935,"3,192",86,"£116,463.00",£60.19,1.6,"£2,391.00",£60.00,£30.00,,
"Gunson Gate, Chelmsford",Essex,,01/01/2011,08/11/2016,2138,6020,251,"£128,340.00",£60.03,2.8,"£3,780.00",£60.00,£30.00,Discount if paid within 14 days. Rises to £90 after £28 days,
Highgate Road/Wesleyn Place,Camden,NW5 1LJ,11/08/2011,09/01/2017,1978,1744,285,"£115,968.86",£58.63,0.9,"£19,174.00",,,,
Theobalds Road/New North Road,Camden,WC1X 8WB,11/08/2011,09/01/2017,1978,1691,343,"£112,869.56",£57.06,0.9,"£22,625.00",,,,
Audenshaw Road Audenshaw,Tameside,M34 5PW,01/12/2014,17/11/2016,717,1305,516,"£39,134.00",£54.58,1.8,"£15,192.00",£60.00,£30.00,,
Gloucester Rd,Bristol,109,01/02/2010,23/12/2016,2517,"3,579",454,"£137,350.53",£54.57,1.4,"£13,992.57",£60.00,£30.00,,
Commercial Road (Nr Beecroft St),Leeds,,,,,,743,,£54.04,,"£19,724.00",£60.00,£30.00,,
Essex Road,Islington,LW0593,01/04/2014,30/11/2016,974,1015,490,"£49,444.15",£50.76,1.0,"£23,520.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Church Rd/Tesco Metro,Bristol,252,09/12/2010,23/12/2016,2206,"2,784",377,"£109,930.83",£49.83,1.3,"£10,666.00",£60.00,£30.00,,
Link between Ordnance Avenue and Birchwood Way (northbound),Warrington,,28/07/2016,24/11/2016,119,189,0,"£5,790.00",£48.66,1.6,£0.00,£60.00,£30.00,,
"A650 Bingley Road, Nab Wood",Bradford,,23/08/2012,28/11/2016,1558,"3,345",742,"£75,369.00",£48.38,2.1,"£18,933.00",£60.00,£30.00,,
Exeter Street (Inbound) Plymouth,Plymouth,PL4 0BJ,20/09/2014,24/11/2016,796,"2,087",872,"£37,121.00",£46.63,2.6,"£14,080.00",£60.00,£30.00,Can rise to £90 or £98,
St Johns Way / Holloway Rd,Islington,LW0600,01/04/2014,30/11/2016,974,999,423,"£45,215.07",£46.42,1.0,"£20,304.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Otley Road Adj Victoria Terrace,Leeds,,,,,,555,,£46.33,,"£16,911.00",£60.00,£30.00,,
"Valley Gardens, Quedgeley",Gloucestershire,GL2 2DW,17/01/2013,01/12/2016,1414,2869,979,"£58,255.41",£41.20,2.0,"£17,774.00",£50 or £70 ,50%,Discount if paid within 14 days. Rises to £90 after £28 days,
"Uxbridge Road, Ealing (Eastward) (2) (U)",Ealing,W5 5AL,28/02/2014,12/01/2017,1049,756,368,"£42,742.26",£40.75,0.7,"£21,309.59",130,65,,
Bath Rd /TRAMWAY Road,Bristol,124,14/09/2011,23/12/2016,1927,"2,211",7,"£76,942.50",£39.93,1.1,£277.00,£60.00,£30.00,,
Huddersfield Road Junction with Woodside Road,Bradford,,19/12/2013,28/11/2016,1075,"1,426",335,"£39,418.46",£36.67,1.3,"£9,857.04",£60.00,£30.00,,
"Valley Gardens, Quedgeley",Gloucestershire,GL2 2DW,24/08/2007,01/12/2016,3387,4635,1440,"£120,865.56",£35.69,1.4,"£42,895.47",£50 or £70 ,50%,Discount if paid within 14 days. Rises to £90 after £28 days,
Hyde Road,Manchester,,01/04/2010,13/12/2016,2448,3004,1723,"£85,591.00",£34.96,1.2,"£53,458.00",£60.00,£30.00,,
Church Rd/Weight Rd,Bristol,251,09/12/2010,23/12/2016,2206,"1,915",281,"£75,330.16",£34.15,0.9,"£7,941.00",£60.00,£30.00,,
Cheetham Hill Road (Bignor Street to Albyns Avenue),Manchester,,01/04/2010,13/12/2016,2448,3480,1281,"£81,849.00",£33.44,1.4,"£32,439.00",£60.00,£30.00,,
"Sunderland Road, South Shields",South Tyneside,NE34 0SP,24/06/2015,14/11/2016,509,843,533,"£15,940.00",£31.32,1.7,"£10,535.00",£60.00,£30.00,,
"Ghyllgrove North, Basildon",Essex,,01/03/2016,08/11/2016,252,769,12,"£7,890.00",£31.31,3.1,£0.00,£60.00,£30.00,Discount if paid within 14 days. Rises to £90 after £28 days,
"Saltash Road, Plymouth",Plymouth,PL4 6AQ,10/02/2016,24/11/2016,288,569,402,"£8,407.00",£29.19,2.0,"£8,407.00",£60.00,£30.00,Can rise to £90 or £98,
Kirkstall Road (Fire Stn),Leeds,,,,,,372,,£28.93,,"£10,560.00",£60.00,£30.00,,
Newmarket Road (outbound),Cambridge,CB5 8JE,05/12/2014,25/11/2016,721,856,517,"£19,710.00",£27.34,1.2,"£10,200.00",£60.00,£30.00,,
St Pauls / Compton Road,Islington,LW0595,01/04/2014,30/11/2016,974,581,141,"£26,402.14",£27.11,0.6,"£6,768.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Bloomsbury Way/Museum Street/New Oxford Street,Camden,WC1A 2HN,11/08/2011,09/01/2017,1978,832,487,"£53,191.00",£26.89,0.4,"£30,889.50",,,,
Imperial Road Northbound,Hammersmith and Fulham,253,01/04/2009,30/11/2016,2800,1062,230,"£70,634.00",£25.23,0.4,"£16,170.00",130,65,,
Burley Rd Jnc Studio Rd,Leeds,,,,,,356,,£22.84,,"£8,335.00",£60.00,£30.00,,
Fishponds Rd,Bristol,173,21/08/2012,23/12/2016,1585,878,315,"£33,474.52",£21.12,0.6,"£8,781.00",£60.00,£30.00,,
Theobalds Road/Johns Street,Camden,WC1X 8PF,11/08/2011,09/01/2017,1978,680,128,"£41,531.00",£21.00,0.3,"£7,023.00",,,,
Church Rd/ Byron St,Bristol,250,09/12/2010,23/12/2016,2206,"1,132",97,"£45,344.57",£20.56,0.5,"£3,704.33",£60.00,£30.00,,
Gloucester Rd,Bristol,107,06/09/2011,23/12/2016,1935,"1,024",486,"£39,463.50",£20.39,0.5,"£15,469.00",£60.00,£30.00,,
Dewsbury Rd Jnc Jack Lane,Leeds,,,,,,456,,£19.40,,"£7,080.00",£60.00,£30.00,,
Islington Green,Islington,LW0591,01/04/2014,30/11/2016,974,483,143,"£18,722.39",£19.22,0.5,"£6,864.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Wood Lane Southbound,Hammersmith and Fulham,341,01/04/2009,30/11/2016,2800,828,584,"£51,873.00",£18.53,0.3,"£37,329.00",130,65,,
Camberwell Road,Southwark,,12/01/2007,12/01/2017,3653,,108,"£32,799.00",£17.77,,"£6,484.56",130,65,,
whiteladies Rd,Bristol,104,01/11/2012,23/12/2016,1513,682,210,"£26,308.00",£17.39,0.5,"£6,601.00",£60.00,£30.00,,
Bath Rd /HTV Studios,Bristol,122,19/09/2011,23/12/2016,1922,924,0,"£32,737.00",£17.03,0.5,-,£60.00,£30.00,,
Cheltenham Rd/Arley hill,Bristol,59,20/03/2010,23/12/2016,2470,980,367,"£38,043.38",£15.40,0.4,"£9,894.34",£60.00,£30.00,,
Greenkeepers RoadGreat Denham,Bedford,,18/12/2013,9/11/2016,1057,870,382,"£14,395.00",£13.62,0.8,"£6,130.00",£60.00,,,
Cheltenham Rd/Winsley Rd,Bristol,60,01/01/2011,23/12/2016,2183,749,233,"£28,546.00",£13.08,0.3,"£6,745.00",£60.00,£30.00,,
"Middlemead, Cirencester",Gloucestershire,GL7 1GQ,28/01/2016,01/12/2016,308,212,0,"£3,676.00",£11.94,0.7,£0.00,£50 or £70 ,50%,Discount if paid within 14 days. Rises to £90 after £28 days,
Bath Rd /Totterdown Bridge,Bristol,121,19/09/2011,23/12/2016,1922,622,0,"£22,898.00",£11.91,0.3,-,£60.00,£30.00,,
Fishponds Rd,Bristol,183,03/09/2012,23/12/2016,1572,470,124,"£18,094.30",£11.51,0.3,"£3,871.00",£60.00,£30.00,,
whiteladies Rd,Bristol,103,01/11/2012,23/12/2016,1513,428,124,"£16,115.67",£10.65,0.3,"£4,027.67",£60.00,£30.00,,
Shepherds Bush Road Northbound,Hammersmith and Fulham,150,01/04/2009,30/11/2016,2800,453,9,"£29,776.00",£10.63,0.2,£722.00,130,65,,
Fishponds Rd,Bristol,179,01/02/2010,23/12/2016,2517,706,19,"£26,696.00",£10.61,0.3,£780.00,£60.00,£30.00,,
Putney High Street / Putney Bridge Road,Wandsworth,,01/04/2013,09/01/2017,1379,207,120,"£12,753.00",£9.25,0.2,"£6,755.00",130,65,,
High Holborn/Grays Inn Road,Camden,WC1V 6DR,11/08/2011,09/01/2017,1978,303,271,"£17,958.50",£9.08,0.2,"£15,610.50",,,,
Mitcham Road / Amen Corner,Wandsworth,,01/04/2013,09/01/2017,1379,244,181,"£12,514.00",£9.07,0.2,"£8,867.00",130,65,,
Brislington Hill,Bristol,253,12/09/2011,23/12/2016,1929,463,0,"£16,537.50",£8.57,0.2,-,£60.00,£30.00,,
Elizabeth Way (outbound),Cambridge,CB4 1JW,05/12/2014,25/11/2016,721,523,252,"£5,880.00",£8.16,0.7,"£3,330.00",£60.00,£30.00,,
Hammersmith Road Westbound,Hammersmith and Fulham,114,01/04/2009,30/11/2016,2800,339,5,"£21,443.00",£7.66,0.1,£325.00,130,65,,
Bath Rd/Arnos Vale,Bristol,246,10/01/2013,23/12/2016,1443,273,64,"£10,879.98",£7.54,0.2,"£2,053.98",£60.00,£30.00,,
Gloucester Rd,Bristol,247,21/08/2012,23/12/2016,1585,288,132,"£11,335.82",£7.15,0.2,"£4,736.82",£60.00,£30.00,,
"Westoe Road, South Shields",South Tyneside,NE33 2RL,22/07/2015,14/11/2016,481,197,134,"£3,270.00",£6.80,0.4,"£2,460.00",£60.00,£30.00,,
Whiteladies Rd/Cotham Hill,Bristol,105,01/11/2012,23/12/2016,1513,259,67,"£10,016.00",£6.62,0.2,"£1,957.00",£60.00,£30.00,,
Westbury Rd,Bristol,106,01/02/2011,23/12/2016,2152,347,0,"£12,742.00",£5.92,0.2,-,£60.00,£30.00,,
Kirkstall Road (Opp Waterside),Leeds,,,,,,118,,£5.84,,"£2,130.00",£60.00,£30.00,,
Fishponds Rd,Bristol,182,03/09/2012,23/12/2016,1572,208,69,"£7,584.00",£4.82,0.1,"£1,821.00",£60.00,£30.00,,
High Holburn/Red Lion Street,Camden,WC1V 7EE,11/08/2011,09/01/2017,1978,170,137,"£9,085.00",£4.59,0.1,"£7,915.00",,,,
Kempston Road,Bedford,,23/11/2013,9/11/2016,1082,179,26,"£4,475.00",£4.14,0.2,£697.00,£60.00,,,
Fulham Rd Westbound (Britannia Rd),Hammersmith and Fulham,202/203/204,01/04/2009,30/11/2016,2800,144,6,"£9,976.00",£3.56,0.1,£260.00,130,65,,
Bath Rd/West Town Lane,Bristol,128,01/05/2010,23/12/2016,2428,216,0,"£7,401.00",£3.05,0.1,-,£60.00,£30.00,,
Camberwell Road Junction Wyndham Road,Southwark,,12/01/2007,12/01/2017,3653,,16,,£3.05,,"£1,112.00",130,65,,
Garratt Lane / Magdalen Road,Wandsworth,,01/04/2013,09/01/2017,1379,100,88,"£4,167.00",£3.02,0.1,"£3,712.00",130,65,,
Bond St /York st,Bristol,20,09/03/2012,23/12/2016,1750,132,0,"£5,068.00",£2.90,0.1,-,£60.00,£30.00,,
Kentish Town Road/Royal College Street,Camden,NW1 9QP,11/08/2011,09/01/2017,1978,71,50,"£4,030.00",£2.04,0.0,"£2,600.00",,,,
Bath Rd /Flowers Hill,Bristol,245,01/05/2010,23/12/2016,2428,141,0,"£4,896.00",£2.02,0.1,-,£60.00,£30.00,,
Bristol Hill /Kings Arms,Bristol,126,13/09/2011,23/12/2016,1928,74,0,"£2,828.00",£1.47,0.0,-,£60.00,£30.00,,
Bath Rd /Wells Rd 3 Lamps,Bristol,120,01/02/2010,23/12/2016,2517,82,0,"£3,320.00",£1.32,0.0,-,£60.00,£30.00,,
Church Rd/Russell Town,Bristol,131,10/05/2010,23/12/2016,2419,70,12,"£2,892.00",£1.20,0.0,£330.00,£60.00,£30.00,,
Southampton Row / Russel Square,Camden,WC1B 4HS,11/08/2011,09/01/2017,1978,26,23,"£2,045.00",£1.03,0.0,"£1,590.00",,,,
Fulham Palace Rd Nthbound,Hammersmith and Fulham,121,01/04/2009,30/11/2016,2800,51,16,"£2,849.00",£1.02,0.0,£852.00,130,65,,
Fortess Road/Brecknock Road,Camden,N19 5AA,11/08/2011,09/01/2017,1978,30,20,"£1,950.00",£0.99,0.0,"£1,300.00",,,,
Fishponds Rd,Bristol,172,21/08/2012,23/12/2016,1585,39,16,"£1,466.95",£0.93,0.0,£679.95,£60.00,£30.00,,
Tottenham Court Road/Goodge Street,Camden,W1T 2ES,11/08/2011,09/01/2017,1978,20,16,"£1,372.00",£0.69,0.0,"£1,242.00",,,,
Fulham Palace Rd South,Hammersmith and Fulham,N/A,01/04/2009,30/11/2016,2800,30,0,"£1,800.00",£0.64,0.0,£0.00,130,65,,
Southampton Row/Russel Square,Camden,WC1B 5AG,11/08/2011,09/01/2017,1978,12,10,"£1,245.00",£0.63,0.0,"£1,115.00",,,,
Theobalds Rd /Bedford row,Camden,WC1R 4HD,11/08/2011,09/01/2017,1978,17,6,"£1,177.00",£0.60,0.0,£390.00,,,,
Drake Street/Procter Street,Camden,WC1X 8TN,11/08/2011,09/01/2017,1978,15,7,"£1,040.00",£0.53,0.0,£455.00,,,,
Bedford Square/Gower Street,Camden,WC1B 3RA,11/08/2011,09/01/2017,1978,18,3,£975.00,£0.49,0.0,£195.00,,,,
Eversholt Lane/Lancing Street,Camden,NW1 1AD,11/08/2011,09/01/2017,1978,22,2,£910.00,£0.46,0.0,£195.00,,,,
Tottenham Court Road/Grafton Way,Camden,W1T 7NG,11/08/2011,09/01/2017,1978,12,4,£854.00,£0.43,0.0,£261.00,,,,
Wells Rd,Bristol,258,01/08/2013,23/12/2016,1240,12,1,£487.00,£0.39,0.0,£97.00,£60.00,£30.00,,
